pc,effective_address,val0,store-1ea,store-1val0,store-2ea,store-2val0
6765496,8943720,6765512,NAN,NAN,NAN,NAN
6765512,281474976692496,69866368,NAN,NAN,NAN,NAN
6765516,281474976692480,9304038,NAN,NAN,NAN,NAN
6765520,281474976692464,46356912,NAN,NAN,NAN,NAN
6765524,281474976692448,281474976692512,NAN,NAN,NAN,NAN
6765568,9304038,101,NAN,NAN,NAN,NAN
6765592,69866376,69866272,NAN,NAN,NAN,NAN
6765468,69866272,3407933,281474976692496,281474976692448,281474976692480,281474976692448
6765496,8943776,6765512,281474976692496,281474976692448,281474976692480,281474976692448
6765512,281474976692496,69866368,281474976692496,281474976692448,281474976692480,281474976692448
6765516,281474976692480,9304038,281474976692496,281474976692448,281474976692480,281474976692448
6765520,281474976692464,46356912,281474976692496,281474976692448,281474976692480,281474976692448
6765524,281474976692448,281474976692512,281474976692496,281474976692448,281474976692480,281474976692448
6765512,281474976692560,69866432,281474976692496,281474976692448,281474976692480,281474976692448
6765516,281474976692544,9304178,281474976692496,281474976692448,281474976692480,281474976692448
6765520,281474976692528,46356912,281474976692496,281474976692448,281474976692480,281474976692448
6765524,281474976692512,281474976692576,281474976692496,281474976692448,281474976692480,281474976692448
6765512,281474976692624,69865600,281474976692496,281474976692448,281474976692480,281474976692448
6765516,281474976692608,46357248,281474976692496,281474976692448,281474976692480,281474976692448
6765520,281474976692592,46356912,281474976692496,281474976692448,281474976692480,281474976692448
6765524,281474976692576,281474976692640,281474976692496,281474976692448,281474976692480,281474976692448
4566440,69865608,19660800,281474976692496,281474976692448,281474976692480,281474976692448
4566444,19660800,59,281474976692496,281474976692448,281474976692480,281474976692448
4566488,69866472,19660800,281474976692496,281474976692448,281474976692480,281474976692448
4566492,19660800,59,281474976692496,281474976692448,281474976692480,281474976692448
4566508,69865616,69865568,281474976692496,281474976692448,281474976692480,281474976692448
4566520,10465688,19660800,281474976692496,281474976692448,281474976692480,281474976692448
4566524,69866480,69866432,281474976692496,281474976692448,281474976692480,281474976692448
4566528,69865576,69865504,281474976692496,281474976692448,281474976692480,281474976692448
4566536,84088320,0,281474976692496,281474976692448,281474976692480,281474976692448
4566540,69866440,69866368,281474976692496,281474976692448,281474976692480,281474976692448
4566544,69865504,108,281474976692496,281474976692448,281474976692480,281474976692448
4566548,281474976692760,0,281474976692496,281474976692448,281474976692480,281474976692448
4563832,69866368,111,281474976692496,281474976692448,281474976692480,281474976692448
4563848,69866376,69866272,281474976692496,281474976692448,281474976692480,281474976692448
6316968,69866272,3407933,281474976692688,111,281474976692496,281474976692448
6317220,9165780,108,281474976692688,111,281474976692496,281474976692448
4563912,281474976692688,46357248,281474976692688,111,281474976692496,281474976692448
4563944,281474976692732,0,281474976692688,111,281474976692496,281474976692448
4564072,8410144,4563968,281474976692688,111,281474976692496,281474976692448
4564560,69865512,69865408,281474976692672,4563968,281474976692688,111
4564564,69866376,69866272,281474976692672,4563968,281474976692688,111
6758568,69865408,3407933,281474976692624,281474976692560,281474976692608,281474976692560
6758572,69866272,3407933,281474976692624,281474976692560,281474976692608,281474976692560
