epochs,width,rate,error
20,150,0.00075,0.000982481275154
20,150,0.00075,0.000999046382561
20,100,0.00075,0.001002111629529
20,200,0.00075,0.001004882907118
20,200,0.00075,0.001012317759297
20,200,0.00075,0.001015176719633
20,200,0.00075,0.001018337932728
20,100,0.00075,0.001031308305407
20,150,0.00075,0.001052634058654
20,100,0.00075,0.001052986167787
20,150,0.00075,0.001055891077788
20,100,0.00075,0.001065861793045
20,150,0.00075,0.001066563571726
20,200,0.00075,0.00107313572717
20,100,0.00075,0.001080353519415
