,sea-1,sv0-1,sea-2,sv0-2
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
11,,281474976692448.0,281474976692480.0,281474976692448.0
12,,281474976692448.0,281474976692480.0,281474976692448.0
13,,281474976692448.0,281474976692480.0,281474976692448.0
14,,281474976692448.0,281474976692480.0,281474976692448.0
15,,281474976692448.0,281474976692480.0,281474976692448.0
16,,281474976692448.0,281474976692480.0,281474976692448.0
17,,281474976692448.0,281474976692480.0,281474976692448.0
18,,281474976692448.0,281474976692480.0,281474976692448.0
19,,281474976692448.0,281474976692480.0,281474976692448.0
20,,281474976692448.0,281474976692480.0,281474976692448.0
21,,281474976692448.0,281474976692480.0,281474976692448.0
22,,281474976692448.0,281474976692480.0,281474976692448.0
23,,281474976692448.0,281474976692480.0,281474976692448.0
24,,281474976692448.0,281474976692480.0,281474976692448.0
25,,281474976692448.0,281474976692480.0,281474976692448.0
26,,281474976692448.0,281474976692480.0,281474976692448.0
27,,281474976692448.0,281474976692480.0,281474976692448.0
28,,281474976692448.0,281474976692480.0,281474976692448.0
29,,281474976692448.0,281474976692480.0,281474976692448.0
30,,281474976692448.0,281474976692480.0,281474976692448.0
31,,281474976692448.0,281474976692480.0,281474976692448.0
32,,281474976692448.0,281474976692480.0,281474976692448.0
33,,281474976692448.0,281474976692480.0,281474976692448.0
34,,281474976692448.0,281474976692480.0,281474976692448.0
35,,281474976692448.0,281474976692480.0,281474976692448.0
36,,281474976692448.0,281474976692480.0,281474976692448.0
37,,281474976692448.0,281474976692480.0,281474976692448.0
38,,281474976692448.0,281474976692480.0,281474976692448.0
40,,111.0,281474976692496.0,281474976692448.0
41,,111.0,281474976692496.0,281474976692448.0
42,,111.0,281474976692496.0,281474976692448.0
43,,111.0,281474976692496.0,281474976692448.0
44,,111.0,281474976692496.0,281474976692448.0
46,,4563968.0,281474976692688.0,111.0
47,,4563968.0,281474976692688.0,111.0
53,,281474976692560.0,281474976692608.0,281474976692560.0
54,,281474976692560.0,281474976692608.0,281474976692560.0
55,,281474976692560.0,281474976692608.0,281474976692560.0
56,,281474976692560.0,281474976692608.0,281474976692560.0
57,,281474976692560.0,281474976692608.0,281474976692560.0
58,,281474976692560.0,281474976692608.0,281474976692560.0
59,,281474976692560.0,281474976692608.0,281474976692560.0
60,,281474976692560.0,281474976692608.0,281474976692560.0
61,,281474976692560.0,281474976692608.0,281474976692560.0
62,,281474976692560.0,281474976692608.0,281474976692560.0
63,,281474976692560.0,281474976692608.0,281474976692560.0
64,,281474976692560.0,281474976692608.0,281474976692560.0
65,,281474976692560.0,281474976692608.0,281474976692560.0
71,,281474976692560.0,281474976692608.0,281474976692560.0
72,,281474976692560.0,281474976692608.0,281474976692560.0
73,,281474976692560.0,281474976692608.0,281474976692560.0
74,,281474976692560.0,281474976692608.0,281474976692560.0
